gene_id	gene_symbol	module	goslim_name	k_total	k_within	protein
MMAR_RS06825	MMAR_RS06825	MEblue	Lipid & Fatty Acid Metabolic Process	8.169	6.472	TIGR03619 family F420-dependent LLM class oxidoreductase
MMAR_RS03325	MMAR_RS03325	MEbrown	Transmembrane Transport & Secretion	21.548	4.849	DUF3151 domain-containing protein
MMAR_RS29685	MMAR_RS29685	MEblue	Lipid & Fatty Acid Metabolic Process	26.984	15.352	hypothetical protein
MMAR_RS19265	orn	MEgreen	Cellular Respiration & Shear Adaptation	18.804	10.871	oligoribonuclease
MMAR_RS07825	MMAR_RS07825	MEgreen	Cellular Respiration & Shear Adaptation	5.209	2.233	HNH endonuclease
MMAR_RS13860	MMAR_RS13860	MEbrown	Transmembrane Transport & Secretion	8.431	3.955	YceI family protein
MMAR_RS05880	trpS	MEblue	Lipid & Fatty Acid Metabolic Process	6.65	4.666	tryptophan--tRNA ligase
MMAR_RS30265	MMAR_RS30265	MEturquoise	Cell Surface & Biofilm Organization	14.578	10.961	TetR/AcrR family transcriptional regulator
MMAR_RS14730	MMAR_RS14730	MEbrown	Transmembrane Transport & Secretion	7.138	5.58	GMC family oxidoreductase
MMAR_RS02310	MMAR_RS02310	MEturquoise	Cell Surface & Biofilm Organization	9.861	7.004	fatty acyl-AMP ligase
MMAR_RS25700	MMAR_RS25700	MEgreen	Cellular Respiration & Shear Adaptation	13.262	8.259	SIMPL domain-containing protein
MMAR_RS19090	MMAR_RS19090	MEturquoise	Cell Surface & Biofilm Organization	14.788	9.274	DUF8010 domain-containing protein
